date,Continued Jobless Claims
2019-04-01,"1,079.50"
2019-05-01,"1,097.00"
2019-06-01,"1,126.60"
2019-07-01,"1,143.20"
2019-08-01,"1,163.50"
2019-09-01,"1,183.40"
2019-10-01,"1,211.40"
2019-11-01,"1,232.40"
2019-12-01,"1,240.30"
2020-01-01,"1,229.20"
2020-02-01,"1,227.50"
2020-03-01,"1,229.90"
2020-04-01,"2,090.30"
2020-05-01,"2,657.20"
2020-06-01,"2,592.00"
2020-07-01,"2,652.40"
2020-08-01,"2,698.60"
2020-09-01,"2,681.10"
2020-10-01,"2,597.80"
2020-11-01,"2,639.50"
2020-12-01,"2,622.00"
2021-01-01,"2,572.70"
2021-02-01,"2,650.40"
2021-03-01,"2,632.90"
2021-04-01,"2,598.10"
2021-05-01,"2,451.60"
2021-06-01,"2,279.80"
2021-07-01,"2,232.80"
2021-08-01,"2,146.80"
2021-09-01,"2,053.40"
2021-10-01,"1,985.90"
2021-11-01,"1,909.50"
2021-12-01,"1,840.30"
2022-01-01,"1,797.30"
2022-02-01,"1,743.50"
2022-03-01,"1,674.00"
2022-04-01,"1,596.70"
2022-05-01,"1,576.80"
2022-06-01,"1,554.10"
2022-07-01,"1,525.00"
2022-08-01,"1,521.20"
2022-09-01,"1,520.90"
2022-10-01,"1,509.90"
2022-11-01,"1,522.40"
2022-12-01,"1,536.60"
2023-01-01,"1,520.80"
2023-02-01,"1,503.90"
2023-03-01,"1,524.80"
2023-04-01,"1,556.50"
2023-05-01,"1,527.70"
2023-06-01,"1,542.10"
2023-07-01,"1,541.50"
2023-08-01,"1,527.50"
2023-09-01,"1,529.10"
2023-10-01,"1,539.10"
2023-11-01,"1,551.90"
2023-12-01,"1,565.30"
2024-01-01,"1,569.20"
2024-02-01,"1,572.30"
2024-03-01,"1,584.80"
2024-04-01,"1,583.00"
2024-05-01,"1,615.70"
2024-06-01,"1,645.10"
2024-07-01,"1,766.80"
2024-08-01,"1,762.70"
2024-09-01,"1,765.30"
2024-10-01,"1,760.40"
2024-11-01,"1,738.60"
2024-12-01,"1,720.60"
2025-01-01,"1,720.60"
2025-02-01,"1,729.30"
2025-03-01,"1,723.90"
2025-04-01,"1,701.80"
2025-05-01,"1,717.10"
2025-06-01,"1,701.60"
2025-07-01,"1,668.30"
2025-08-01,"1,666.30"
2025-09-01,"1,666.70"
2025-10-01,"1,662.80"
2025-11-01,"1,659.50"
2025-12-01,"1,662.20"
2026-01-01,"1,690.80"
