date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2025-09-30,S&P 500,117682,555746,3896,-10312,6,28.4
2025-10-07,S&P 500,132281,594558,14599,38812,6.7,30.2
2025-10-14,S&P 500,141062,562289,8782,-32269,7.3,28.9
2025-10-21,S&P 500,125008,568247,-16054,5958,6.6,29.9
2025-10-28,S&P 500,141643,592852,16635,24605,7.3,30.4
2025-11-04,S&P 500,167978,576026,26335,-16827,8.5,29.1
2025-11-10,S&P 500,168555,589557,577,13531,8.4,29.4
2025-11-18,S&P 500,195759,552811,27204,-36746,9.5,26.8
2025-11-25,S&P 500,199433,577772,3675,24962,9.5,27.5
2025-12-02,S&P 500,174773,615460,-24660,37688,8.3,29.3
2025-12-09,S&P 500,163825,612587,-10948,-2874,7.5,28.2
2025-12-16,S&P 500,207305,595952,43480,-16634,8.3,23.8
2025-12-23,S&P 500,162773,533940,-44532,-62012,8.5,27.8
2025-12-30,S&P 500,145527,512156,-17246,-21784,7.5,26.3
2026-01-06,S&P 500,131137,546491,-14390,34335,6.7,27.9
2026-01-13,S&P 500,110713,557224,-20424,10733,5.8,29
2026-01-20,S&P 500,115887,533669,5174,-23555,6,27.4
2026-01-27,S&P 500,111728,539131,-4158,5463,5.8,28.1
2026-02-03,S&P 500,128956,578477,17228,39346,6.6,29.7
2026-02-10,S&P 500,121150,545884,-7806,-32593,6.2,27.9
2026-02-17,S&P 500,117577,583942,-3573,38058,5.9,29.4
2026-02-24,S&P 500,116481,593872,-1096,9930,5.7,29.1
2026-03-03,S&P 500,155834,567192,39353,-26681,7.5,27.2
2026-03-10,S&P 500,154685,512781,-1149,-54411,7.6,25.3
2026-03-17,S&P 500,145042,492619,-9643,-20162,6.1,20.9
2026-03-24,S&P 500,135058,476719,-9984,-15901,7.1,25.1
2026-03-31,S&P 500,161380,391772,26321,-84947,8.2,19.9
2026-04-07,S&P 500,147347,388220,-14033,-3552,7.6,19.9
2026-04-14,S&P 500,124232,538757,-23114,150537,6.3,27.2
2026-04-21,S&P 500,126459,532386,2227,-6372,6.4,26.8
2026-04-28,S&P 500,120816,521429,-5643,-10956,6.1,26.3
2026-05-05,S&P 500,141127,539932,20311,18503,7,26.9
2026-05-12,S&P 500,148141,577496,7015,37564,7.1,27.8
2026-05-19,S&P 500,163924,566236,15782,-11261,7.8,27
2026-05-26,S&P 500,149204,608619,-14720,42383,7,28.6
2026-06-02,S&P 500,160224,663733,11021,55114,7.3,30.4
