date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2024-03-19,Silver,53484,16362,7963,-3365,34.9,10.7
2024-03-26,Silver,53871,23932,387,7570,33.6,14.9
2024-04-02,Silver,57863,24562,3992,630,34.7,14.7
2024-04-09,Silver,59605,22974,1742,-1588,34.2,13.2
2024-04-16,Silver,60445,20255,840,-2719,34.4,11.5
2024-04-23,Silver,60060,20667,-385,412,34.2,11.8
2024-04-30,Silver,55842,21956,-4218,1289,33.6,13.2
2024-05-07,Silver,54892,20698,-950,-1258,33.9,12.8
2024-05-14,Silver,60206,20510,5314,-188,35.1,12
2024-05-21,Silver,61627,25457,1421,4947,33,13.6
2024-05-28,Silver,62242,24487,615,-970,33.7,13.2
2024-06-04,Silver,56908,22577,-5334,-1910,31.6,12.6
2024-06-11,Silver,52207,24147,-4701,1570,29.7,13.7
2024-06-18,Silver,53057,22008,850,-2139,30,12.5
2024-06-25,Silver,50941,18595,-2116,-3413,30.6,11.2
2024-07-02,Silver,49570,18013,-1371,-582,32,11.6
2024-07-09,Silver,55172,17270,5602,-743,33.8,10.6
2024-07-16,Silver,55858,19183,686,1913,33.5,11.5
2024-07-23,Silver,43877,18523,-11981,-660,27.9,11.8
2024-07-30,Silver,37898,13683,-5979,-4840,25,9
2024-08-06,Silver,36537,12153,-1361,-1530,24.8,8.2
2024-08-13,Silver,35805,12471,-732,318,24.2,8.4
2024-08-20,Silver,39517,9678,3712,-2793,26.9,6.6
2024-08-27,Silver,42916,9729,3399,51,30.3,6.9
2024-09-03,Silver,40281,14982,-2635,5253,30.8,11.4
2024-09-10,Silver,39466,13645,-815,-1337,30.6,10.6
2024-09-17,Silver,51074,11455,11608,-2190,36.3,8.1
2024-09-24,Silver,56196,13021,5122,1566,37.4,8.7
2024-10-01,Silver,52610,15272,-3586,2251,36.3,10.6
2024-10-08,Silver,47876,13240,-4734,-2032,33.5,9.3
2024-10-15,Silver,47760,13059,-116,-181,33.7,9.2
2024-10-22,Silver,56281,10646,8521,-2413,35.8,6.8
2024-10-29,Silver,54185,14432,-2096,3786,34.7,9.2
2024-11-05,Silver,48546,16249,-5639,1817,32.1,10.8
2024-11-12,Silver,41125,16900,-7421,651,27.9,11.5
2024-11-19,Silver,40707,14769,-418,-2131,28.8,10.5
2024-11-26,Silver,38604,15499,-2103,730,28.7,11.5
2024-12-03,Silver,39214,14882,610,-617,29.2,11.1
2024-12-10,Silver,46890,17570,7676,2688,31,11.6
2024-12-17,Silver,40317,18438,-6573,868,27.4,12.5
2024-12-24,Silver,39531,18983,-786,545,27.1,13
2024-12-31,Silver,38172,21002,-1359,2019,25.3,13.9
2025-01-07,Silver,42484,17045,4312,-3957,28,11.2
2025-01-14,Silver,45728,16385,3244,-660,30.4,10.9
2025-01-21,Silver,48244,19023,2516,2638,30.2,11.9
2025-01-28,Silver,46674,20724,-1570,1701,28.3,12.5
2025-02-04,Silver,56404,20157,9730,-567,33,11.8
2025-02-11,Silver,54415,20039,-1989,-118,33.1,12.2
2025-02-18,Silver,58305,19999,3890,-40,34.3,11.8
2025-02-25,Silver,51338,18399,-6967,-1600,31.4,11.2
2025-03-04,Silver,47878,13780,-3460,-4619,32.8,9.4
2025-03-11,Silver,54740,12763,6862,-1017,35.3,8.2
2025-03-18,Silver,62742,13254,8002,491,36.8,7.8
2025-03-25,Silver,59841,14449,-2901,1195,35.3,8.5
2025-04-01,Silver,58008,16989,-1833,2540,34.1,10
2025-04-08,Silver,35544,12859,-22464,-4130,23,8.3
2025-04-15,Silver,35877,12325,333,-534,24.8,8.5
2025-04-22,Silver,36905,11014,1028,-1311,25.1,7.5
2025-04-29,Silver,42324,11586,5419,572,27.7,7.6
2025-05-06,Silver,43606,13724,1282,2138,31.1,9.8
2025-05-13,Silver,43522,15189,-84,1465,31.5,11
2025-05-20,Silver,45696,15251,2174,62,32.3,10.8
2025-05-27,Silver,48645,15433,2949,182,33,10.5
2025-06-03,Silver,58645,13812,10000,-1621,35.9,8.5
2025-06-10,Silver,59581,11648,936,-2164,34.2,6.7
2025-06-17,Silver,62692,13827,3111,2179,33.9,7.5
2025-06-24,Silver,58906,13795,-3786,-32,33.7,7.9
2025-07-01,Silver,59228,14301,322,506,36.2,8.7
2025-07-08,Silver,58991,16235,-237,1934,36.2,10
2025-07-15,Silver,59766,16560,775,325,34.9,9.7
2025-07-22,Silver,60294,16280,528,-280,34.7,9.4
2025-07-29,Silver,57762,14738,-2532,-1542,33.9,8.7
2025-08-05,Silver,45934,16111,-11828,1373,28.5,10
2025-08-12,Silver,43854,16574,-2080,463,28,10.6
2025-08-19,Silver,44397,16351,543,-223,28,10.3
2025-08-26,Silver,48499,15528,4102,-823,30.6,9.8
2025-09-02,Silver,51293,12523,2794,-3005,32.4,7.9
2025-09-09,Silver,49390,13535,-1903,1012,31.5,8.6
2025-09-16,Silver,51259,15453,1869,1918,31.5,9.5
2025-09-23,Silver,51225,14126,-34,-1327,30.9,8.5
2025-09-30,Silver,49827,14906,-1398,780,30.4,9.1
2025-10-07,Silver,43186,15693,-6641,787,25.9,9.4
2025-10-14,Silver,39304,16266,-3882,573,22.8,9.4
2025-10-21,Silver,33198,15986,-6106,-280,19.6,9.4
2025-10-28,Silver,34227,12328,1029,-3658,21.6,7.8
2025-11-04,Silver,33478,14321,-749,1993,21.6,9.2
2025-11-10,Silver,35613,12958,2135,-1363,22.3,8.1
2025-11-18,Silver,33544,13310,-2069,352,21.9,8.7
2025-11-25,Silver,32630,13569,-914,259,22.6,9.4
2025-12-02,Silver,34765,15791,2135,2222,23,10.5
2025-12-09,Silver,39798,14023,5033,-1768,25.7,9.1
2025-12-16,Silver,36424,14537,-3374,514,23.8,9.5
2025-12-23,Silver,35026,13418,-1398,-1119,22.5,8.6
2025-12-30,Silver,29100,15092,-5926,1674,18.5,9.6
2026-01-06,Silver,26978,11156,-2122,-3936,17.6,7.3
2026-01-13,Silver,22800,9008,-4178,-2148,15,5.9
2026-01-20,Silver,20613,10667,-2187,1659,13.6,7
2026-01-27,Silver,19423,11724,-1190,1057,12.4,7.5
2026-02-03,Silver,13189,8206,-6234,-3518,9.2,5.7
2026-02-10,Silver,12222,7653,-967,-553,9.1,5.7
2026-02-17,Silver,12121,6153,-101,-1500,9.2,4.7
2026-02-24,Silver,13365,4842,1244,-1311,10.7,3.9
2026-03-03,Silver,12840,5074,-525,232,11.3,4.5
2026-03-10,Silver,13264,2975,424,-2099,11.5,2.6
2026-03-17,Silver,12768,3121,-496,146,11.1,2.7
2026-03-24,Silver,15246,4088,2478,967,13.5,3.6
2026-03-31,Silver,14917,3651,-329,-437,13,3.2
2026-04-07,Silver,13838,3440,-1079,-211,12,3
2026-04-14,Silver,14770,3500,932,60,12.6,3
2026-04-21,Silver,13354,4486,-1416,986,11.6,3.9
2026-04-28,Silver,14576,3970,1222,-516,14.4,3.9
