date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2023-10-24,USD DXY,15248,11193,306,-1272,35.7,26.2
2023-10-31,USD DXY,14840,11307,-408,114,34.7,26.4
2023-11-07,USD DXY,15598,8680,758,-2627,37.8,21.1
2023-11-14,USD DXY,14021,8182,-1577,-498,36.1,21.1
2023-11-21,USD DXY,13890,6647,-131,-1535,36.7,17.5
2023-11-28,USD DXY,19793,6870,5903,223,50.3,17.5
2023-12-05,USD DXY,21106,5351,1313,-1519,52.2,13.2
2023-12-12,USD DXY,23997,7499,2891,2148,58,18.1
2023-12-19,USD DXY,9189,9135,-14808,1636,42.3,42
2023-12-26,USD DXY,10373,9064,1184,-71,47.1,41.1
2024-01-02,USD DXY,13813,10264,3440,1200,57.8,42.9
2024-01-09,USD DXY,11696,9756,-2117,-508,49,40.9
2024-01-16,USD DXY,9504,10000,-2192,244,40.4,42.6
2024-01-23,USD DXY,6690,11638,-2814,1638,27.1,47.2
2024-01-30,USD DXY,7138,12958,448,1320,27.7,50.3
2024-02-06,USD DXY,10062,15563,2924,2605,34.5,53.3
2024-02-13,USD DXY,11792,19119,1730,3556,36.6,59.3
2024-02-20,USD DXY,8688,18689,-3104,-430,29,62.4
2024-02-27,USD DXY,8477,18507,-211,-182,28.7,62.6
2024-03-05,USD DXY,7819,16733,-658,-1774,27.5,58.8
2024-03-12,USD DXY,8014,11714,195,-5019,30.4,44.4
2024-03-19,USD DXY,7900,13687,-114,1973,33.2,57.5
2024-03-26,USD DXY,10615,21841,2715,8154,33.2,68.3
2024-04-02,USD DXY,14576,29698,3961,7857,38.2,77.9
2024-04-09,USD DXY,16513,33796,1937,4098,40.8,83.6
2024-04-16,USD DXY,17780,35767,1267,1971,40.3,81.2
2024-04-23,USD DXY,18900,38078,1120,2311,41.3,83.3
2024-04-30,USD DXY,21336,41497,2436,3419,43.7,85.1
2024-05-07,USD DXY,17056,36086,-4280,-5411,39.7,84
2024-05-14,USD DXY,17548,35204,492,-882,41,82.2
2024-05-21,USD DXY,16065,32002,-1483,-3202,40.2,80.2
2024-05-28,USD DXY,15927,32200,-138,198,39.7,80.3
2024-06-04,USD DXY,12858,29668,-3069,-2532,33.3,76.8
2024-06-11,USD DXY,15927,29000,3069,-668,41.6,75.7
2024-06-18,USD DXY,17397,12999,1470,-16001,43.2,32.3
2024-06-25,USD DXY,18877,14981,1480,1982,43.8,34.7
2024-07-02,USD DXY,18109,18256,-768,3275,39.7,40
2024-07-09,USD DXY,16589,14777,-1520,-3479,38.3,34.2
2024-07-16,USD DXY,17673,9616,1084,-5161,45.7,24.9
2024-07-23,USD DXY,19925,9022,2252,-594,51.3,23.2
2024-07-30,USD DXY,20167,8800,242,-222,51.4,22.4
2024-08-06,USD DXY,30626,11500,10459,2700,72.9,27.4
2024-08-13,USD DXY,34048,11785,3422,285,75.3,26.1
2024-08-20,USD DXY,37049,13488,3001,1703,76.1,27.7
2024-08-27,USD DXY,39094,13930,2045,442,76.6,27.3
2024-09-03,USD DXY,37510,10968,-1584,-2962,77.2,22.6
2024-09-10,USD DXY,34658,7925,-2852,-3043,71.2,16.3
2024-09-17,USD DXY,11212,10300,-23446,2375,45.3,41.6
2024-09-24,USD DXY,13306,11758,2094,1458,49.2,43.5
2024-10-01,USD DXY,13112,9291,-194,-2467,49.8,35.3
2024-10-08,USD DXY,10382,14251,-2730,4960,40.5,55.6
2024-10-15,USD DXY,9172,14732,-1210,481,37.9,60.9
2024-10-22,USD DXY,11763,21427,2591,6695,39.3,71.6
2024-10-29,USD DXY,12784,24607,1021,3180,39.3,75.6
2024-11-05,USD DXY,11395,24142,-1389,-465,37,78.3
2024-11-12,USD DXY,13859,29466,2464,5324,37.6,79.9
2024-11-19,USD DXY,12690,29820,-1169,354,34,79.9
2024-11-26,USD DXY,12909,30717,219,897,34.2,81.3
2024-12-03,USD DXY,13005,30622,96,-95,34.7,81.6
2024-12-10,USD DXY,14289,32531,1284,1909,35,79.7
2024-12-17,USD DXY,14577,22196,288,-10335,35.3,53.8
2024-12-24,USD DXY,15542,25232,965,3036,34.9,56.7
2024-12-31,USD DXY,14641,23919,-901,-1313,34.1,55.7
2025-01-07,USD DXY,14064,25606,-577,1687,31.3,57.1
2025-01-14,USD DXY,14541,22889,477,-2717,31.8,50
2025-01-21,USD DXY,15090,17058,549,-5831,33,37.3
2025-01-28,USD DXY,14209,13702,-881,-3356,34.7,33.4
2025-02-04,USD DXY,13734,11901,-475,-1801,34.6,30
2025-02-11,USD DXY,14117,11648,383,-253,35.9,29.6
2025-02-18,USD DXY,15966,10461,1849,-1187,41.5,27.2
2025-02-25,USD DXY,15680,9074,-286,-1387,41.2,23.8
2025-03-04,USD DXY,19095,9095,3415,21,48.9,23.3
2025-03-11,USD DXY,21509,7340,2414,-1755,54,18.4
2025-03-18,USD DXY,15256,15553,-6253,8213,51.5,52.5
2025-03-25,USD DXY,15453,15640,197,87,52.9,53.5
2025-04-01,USD DXY,15316,13335,-137,-2305,52.3,45.5
2025-04-08,USD DXY,11631,8097,-3685,-5238,51.1,35.6
2025-04-15,USD DXY,16141,8030,4510,-67,59.3,29.5
2025-04-22,USD DXY,20902,11429,4761,3399,63.6,34.8
2025-04-29,USD DXY,21178,10546,276,-883,64.5,32.1
2025-05-06,USD DXY,24122,12190,2944,1644,68.1,34.4
2025-05-13,USD DXY,14645,6360,-9477,-5830,52.3,22.7
2025-05-20,USD DXY,17660,7398,3015,1038,58.5,24.5
2025-05-27,USD DXY,20000,7289,2340,-109,64.6,23.5
2025-06-03,USD DXY,17090,7332,-2910,43,61,26.2
2025-06-10,USD DXY,19331,6341,2241,-991,63.1,20.7
2025-06-17,USD DXY,11452,9297,-7879,2956,37.3,30.3
2025-06-24,USD DXY,10723,11113,-729,1816,34.3,35.6
2025-07-01,USD DXY,14869,12117,4146,1004,41,33.4
2025-07-08,USD DXY,13952,12344,-917,227,39.8,35.2
2025-07-15,USD DXY,14235,10896,283,-1448,40.5,31
2025-07-22,USD DXY,12807,11890,-1428,994,35.8,33.3
2025-07-29,USD DXY,8729,11594,-4078,-296,26.5,35.2
2025-08-05,USD DXY,7706,13762,-1023,2168,25.6,45.8
2025-08-12,USD DXY,7595,14215,-111,453,25,46.7
2025-08-19,USD DXY,8676,12483,1081,-1732,30,43.2
2025-08-26,USD DXY,12375,14295,3699,1812,39.3,45.4
2025-09-02,USD DXY,11357,12114,-1018,-2181,36.1,38.5
2025-09-09,USD DXY,18991,15755,7634,3641,49.9,41.4
2025-09-16,USD DXY,10373,16279,-8618,524,26.9,42.3
2025-09-23,USD DXY,11700,16912,1327,633,28.9,41.8
2025-09-30,USD DXY,5597,16928,-6103,16,15.7,47.4
2025-10-07,USD DXY,6309,18760,712,1832,16.3,48.5
2025-10-14,USD DXY,4026,20562,-2283,1802,10.8,55.4
2025-10-21,USD DXY,3992,21822,-34,1260,11.3,61.7
2025-10-28,USD DXY,5884,21166,1892,-656,16.8,60.5
2025-11-04,USD DXY,8077,28935,2193,7769,18.6,66.6
2025-11-10,USD DXY,7930,28072,-147,-863,18.5,65.6
2025-11-18,USD DXY,7427,30763,-503,2691,16.7,69.3
2025-11-25,USD DXY,8860,33645,1433,2882,18.8,71.3
2025-12-02,USD DXY,6466,29734,-2394,-3911,14.8,67.9
2025-12-09,USD DXY,6908,28168,442,-1566,16.1,65.5
2025-12-16,USD DXY,11803,14010,4895,-14158,43.7,51.9
2025-12-23,USD DXY,13485,14811,1682,801,47.9,52.6
2025-12-30,USD DXY,14671,14673,1186,-138,50.6,50.6
2026-01-06,USD DXY,15398,14632,727,-41,51.2,48.6
2026-01-13,USD DXY,11659,14968,-3739,336,39,50.1
2026-01-20,USD DXY,10984,15106,-675,138,37.1,51.1
2026-01-27,USD DXY,16061,15686,5077,580,50.6,49.4
2026-02-03,USD DXY,14169,13412,-1892,-2274,50.3,47.6
2026-02-10,USD DXY,14696,12047,527,-1365,52.9,43.4
2026-02-17,USD DXY,12894,11002,-1802,-1045,48.5,41.4
2026-02-24,USD DXY,12120,11270,-774,268,46.2,43
2026-03-03,USD DXY,10139,14686,-1981,3416,33.9,49.2
2026-03-10,USD DXY,8867,20550,-1272,5864,27.7,64.2
2026-03-17,USD DXY,11169,16784,2302,-3766,31.5,47.3
2026-03-24,USD DXY,10923,17844,-246,1060,30.2,49.4
2026-03-31,USD DXY,11243,20075,320,2231,29,51.8
2026-04-07,USD DXY,9727,18368,-1516,-1707,26.6,50.2
2026-04-14,USD DXY,10581,13676,854,-4692,32.2,41.6
2026-04-21,USD DXY,9556,11965,-1025,-1711,31.2,39
2026-04-28,USD DXY,8782,11943,-774,-22,28.7,39
2026-05-05,USD DXY,7407,13212,-1375,1269,22.8,40.7
2026-05-12,USD DXY,9720,14471,2313,1259,30.3,45.1
